195.178.110.247 - - [30/Aug/2026:00:10:06 +0000] "POST /index.php?rest_route=/batch/v1 HTTP/1.1" 404 162 "-" "fasthttp"
104.210.140.132 - - [30/Aug/2026:00:28:13 +0000] "GET /robots.txt HTTP/1.1" 200 67 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.0; +https://openai.com/searchbot"
47.128.19.36 - - [30/Aug/2026:00:52:21 +0000] "GET /robots.txt HTTP/1.1" 200 67 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
43.153.12.58 - - [30/Aug/2026:00:54:11 +0000] "GET / HTTP/1.1" 200 2588 "http://matthewritch.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
216.73.217.131 - - [30/Aug/2026:01:28:02 +0000] "GET /robots.txt HTTP/1.1" 200 67 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; ClaudeBot/1.0; +claudebot@anthropic.com)"
216.73.217.131 - - [30/Aug/2026:01:28:02 +0000] "GET /sitemap.xml HTTP/1.1" 200 2528 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; ClaudeBot/1.0; +claudebot@anthropic.com)"
57.141.20.74 - - [30/Aug/2026:02:00:14 +0000] "GET /blog/2025/08/27/WDD-Static/ HTTP/1.1" 200 7822 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))"
170.106.160.90 - - [30/Aug/2026:02:05:45 +0000] "GET / HTTP/1.1" 200 2588 "http://www.matthewritch.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
186.202.57.46 - - [30/Aug/2026:02:08:47 +0000] "GET /.vscode/sftp.json HTTP/1.1" 404 196 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
193.235.141.194 - - [30/Aug/2026:02:14:58 +0000] "GET / HTTP/1.1" 200 2588 "http://matthewritch.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Mobile/15E148 Safari/604"
173.252.82.54 - - [30/Aug/2026:02:31:29 +0000] "GET /robots.txt HTTP/1.1" 206 67 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
